id,deputy_name,consignment_name,url,income_sum
99110909,Аникеев Григорий Викторович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99110909/,2733348573
99110096,Симановский Леонид Яковлевич,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99110096/,1591922660
99109981,Борцов Николай Иванович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99109981/,808831944
99100696,Скоч Андрей Владимирович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99100696/,427432155
99111833,Жигарев Сергей Александрович,ЛДПР,http://duma.gov.ru/duma/persons/99111833/,294845164
99112930,Блоцкий Владимир Николаевич,КПРФ,http://duma.gov.ru/duma/persons/99112930/,284359680
99112242,Пономарев Аркадий Николаевич,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112242/,186534298
99109963,Саблин Дмитрий Вадимович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99109963/,168374404
99112003,Ремезков Александр Александрович,СПРАВЕДЛИВАЯ РОССИЯ,http://duma.gov.ru/duma/persons/99112003/,164849457
99104631,Панина Елена Владимировна,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99104631/,159860701
99112010,Брыксин Александр Юрьевич,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112010/,138920841
99110299,Смирнов Юрий Валентинович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99110299/,135402991
99100750,Лебедев Игорь Владимирович,ЛДПР,http://duma.gov.ru/duma/persons/99100750/,113575750
99100052,Булавинов Вадим Евгеньевич,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99100052/,109212345
99111929,Прокопьев Александр Сергеевич,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99111929/,108422128
99100790,Омаров Гаджимурад Заирбекович,СПРАВЕДЛИВАЯ РОССИЯ,http://duma.gov.ru/duma/persons/99100790/,105762538
99100886,Резник Владислав Матусович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99100886/,93708535
99100829,Володин Вячеслав Викторович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99100829/,84046445
1055895,Пайкин Борис Романович,ЛДПР,http://duma.gov.ru/duma/persons/1055895/,70611777
99111832,Жарков Антон Викторович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99111832/,58279445
1055903,Ярошук Александр Георгиевич,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/1055903/,53155651
99112012,Василенко Александр Борисович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112012/,52100471
1055928,Лябихов Роман Михайлович,КПРФ,http://duma.gov.ru/duma/persons/1055928/,50174038
99110921,Богуславский Ирек Борисович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99110921/,49156329
99111875,Кумин Вадим Валентинович,КПРФ,http://duma.gov.ru/duma/persons/99111875/,47427426
99111028,Петров Сергей Валериевич,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99111028/,43964862
99112911,Жупиков Александр Владимирович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112911/,43706135
